"Goa","4","Dudhsagar Falls Trek (₹700)","Old Goa Churches (Free), Spice Plantation (₹500)","Dinner at Mum’s Kitchen (₹1,000), Departure (₹500)","₹2,700","₹1,500","₹1,000","₹1,200","Budget Hotel","Mum’s Kitchen","Dudhsagar Falls Trek, Old Goa Churches, Spice Plantation","6","[Ranjit96 - Dudhsagar Falls](http://ranjit96.blogspot.com/)","[Goa Vlog](https://www.youtube.com/watch?v=nG7Ks64NoSA)"
"Goa","5","Breakfast at hotel (₹400), Baga Beach (Free)","Lunch at Pousada by the Beach (₹800), Water sports (₹1,200)","Dinner at Souza Lobo (₹900), Night walk (Free)","₹3,300","₹1,500","₹2,100","₹1,200","Budget Hotel","Pousada by the Beach, Souza Lobo","Baga Beach, Water sports","6","[Thrillophilia - Baga Beach](https://www.thrillophilia.com)","[Goa Vlog](https://www.youtube.com/watch?v=nG7Ks64NoSA)"
"Goa","6","Breakfast at hotel (₹400), Colva Beach (Free)","Lunch at Ritz Classic (₹700), Shopping (₹600)","Dinner at Gunpowder (₹1,000), Departure (₹500)","₹3,200","₹1,500","₹2,100","₹600","Budget Hotel","Ritz Classic, Gunpowder","Colva Beach, Shopping","6","[Thrillophilia - Colva Beach](https://www.thrillophilia.com)","[Goa Vlog](https://www.youtube.com/watch?v=nG7Ks64NoSA)"
"Amritsar","1","Check-in at budget hotel (₹1,500), Golden Temple (Free)","Lunch at Kesar Da Dhaba (₹600), Jallianwala Bagh (Free)","Dinner at Bharawan Da Dhaba (₹700), Night prayer (Free)","₹2,800","₹1,500","₹1,300","₹0","Budget Hotel","Kesar Da Dhaba, Bharawan Da Dhaba","Golden Temple, Jallianwala Bagh, Night prayer","6","[Thrillophilia - Golden Temple](https://www.thrillophilia.com)","[Amritsar Vlog](https://www.youtube.com/watch?v=abc123)"
"Amritsar","2","Wagah Border ceremony (₹500)","Lunch at Makhan Fish (₹600), Partition Museum (₹200)","Dinner at Crystal Restaurant (₹800), Relaxation (Free)","₹2,100","₹1,500","₹1,400","₹700","Budget Hotel","Makhan Fish, Crystal Restaurant","Wagah Border ceremony, Partition Museum","6","[Thrillophilia - Wagah Border](https://www.thrillophilia.com)","[Amritsar Vlog](https://www.youtube.com/watch?v=abc123)"
"Amritsar","3","Breakfast at hotel (₹400), Durgiana Temple (Free)","Lunch at Kulcha Land (₹500), Shopping (₹1,000)","Dinner at Beera Chicken (₹700), Relax (Free)","₹2,600","₹1,500","₹1,200","₹1,000","Budget Hotel","Kulcha Land, Beera Chicken","Durgiana Temple, Shopping","6","Explore Amritsar markets","[Amritsar Vlog](https://www.youtube.com/watch?v=abc123)"
"Amritsar","4","Breakfast at hotel (₹400), Gobindgarh Fort (₹300)","Lunch at Charming Chicken (₹600), Departure (₹600)","-","₹1,900","₹1,500","₹1,000","₹900","Budget Hotel","Charming Chicken","Gobindgarh Fort","6","[Thrillophilia - Gobindgarh Fort](https://www.thrillophilia.com)","[Amritsar Vlog](https://www.youtube.com/watch?v=abc123)"
"Amritsar","5","Breakfast at hotel (₹400), Heritage Village (₹500)","Lunch at Kulcha Junction (₹600), Relax (Free)","Dinner at Kesar Da Dhaba (₹800), Night walk (Free)","₹2,300","₹1,500","₹1,400","₹500","Budget Hotel","Kulcha Junction, Kesar Da Dhaba","Heritage Village","6","[Thrillophilia - Heritage Village](https://www.thrillophilia.com)","[Amritsar Vlog](https://www.youtube.com/watch?v=abc123)"
"Amritsar","6","Breakfast at hotel (₹400), Shopping (₹1,000)","Lunch at Bharawan Da Dhaba (₹700), Departure (₹1,200)","-","₹3,300","₹1,500","₹1,100","₹1,700","Budget Hotel","Bharawan Da Dhaba","Shopping","6","Pick up phulkari and juttis","[Amritsar Vlog](https://www.youtube.com/watch?v=abc123)"
"Andaman","1","Check-in at resort (₹3,500), Cellular Jail (₹200)","Lunch at New Lighthouse (₹800), Light & Sound Show (₹300)","Dinner at Full Moon Cafe (₹1,000), Relax (Free)","₹5,800","₹3,500","₹1,800","₹500","Resort","New Lighthouse, Full Moon Cafe","Cellular Jail, Light & Sound Show","9","[Thrillophilia - Cellular Jail](https://www.thrillophilia.com)","[Andaman Vlog](https://www.youtube.com/watch?v=xyz789)"
"Andaman","2","Havelock Island ferry (₹1,500), Radhanagar Beach (Free)","Lunch at Something Different (₹700), Snorkeling (₹1,000)","Dinner at Anju Coco (₹900), Beach walk (Free)","₹4,100","₹2,500","₹1,600","₹2,500","Resort","Something Different, Anju Coco","Havelock Island ferry, Radhanagar Beach, Snorkeling","9","[Thrillophilia - Radhanagar Beach](https://www.thrillophilia.com)","[Andaman Vlog](https://www.youtube.com/watch?v=xyz789)"
"Andaman","3","Scuba Diving (₹3,000)","Lunch at Barefoot (₹800), Elephant Beach (Free)","Dinner at Sea Shell (₹1,200), Relaxation (Free)","₹5,000","₹2,500","₹2,000","₹3,000","Resort","Barefoot, Sea Shell","Scuba Diving, Elephant Beach","9","[Thrillophilia - Scuba Diving](https://www.thrillophilia.com)","[Andaman Vlog](https://www.youtube.com/watch?v=xyz789)"
"Andaman","4","Neil Island ferry (₹1,500), Bharatpur Beach (Free)","Lunch at Moonshine (₹600), Glass-bottom boat (₹1,200)","Dinner at Dugong (₹1,000), Stargazing (Free)","₹4,300","₹2,500","₹1,600","₹2,700","Resort","Moonshine, Dugong","Neil Island ferry, Bharatpur Beach, Glass-bottom boat","9","[Thrillophilia - Bharatpur Beach](https://www.thrillophilia.com)","[Andaman Vlog](https://www.youtube.com/watch?v=xyz789)"
"Andaman","5","Breakfast at resort (₹500), Laxmanpur Beach (Free)","Lunch at Full Moon Cafe (₹800), Natural Bridge (Free)","Dinner at New Lighthouse (₹1,000), Departure (₹1,800)","₹4,100","₹2,500","₹2,300","₹1,800","Resort","Full Moon Cafe, New Lighthouse","Laxmanpur Beach, Natural Bridge","9","[Thrillophilia - Natural Bridge](https://www.thrillophilia.com)","[Andaman Vlog](https://www.youtube.com/watch?v=xyz789)"
"Andaman","6","Breakfast at resort (₹500), Ross Island (₹1,000)","Lunch at Amaya (₹700), Relax (Free)","Dinner at Sea Shell (₹1,200), Night walk (Free)","₹3,400","₹2,500","₹1,900","₹1,000","Resort","Amaya, Sea Shell","Ross Island","9","[Thrillophilia - Ross Island](https://www.thrillophilia.com)","[Andaman Vlog](https://www.youtube.com/watch?v=xyz789)"
"Andaman","7","Breakfast at resort (₹500), Chidiya Tapu (₹300)","Lunch at Barefoot (₹800), Sunset (Free)","Dinner at Anju Coco (₹900), Departure (₹1,500)","₹4,000","₹2,500","₹2,200","₹1,800","Resort","Barefoot, Anju Coco","Chidiya Tapu, Sunset","9","[Thrillophilia - Chidiya Tapu](https://www.thrillophilia.com)","[Andaman Vlog](https://www.youtube.com/watch?v=xyz789)"
"Andaman","8","Breakfast at resort (₹500), Corbyn’s Cove (Free)","Lunch at New Lighthouse (₹800), Water sports (₹1,200)","Dinner at Full Moon Cafe (₹1,000), Relax (Free)","₹3,500","₹2,500","₹1,800","₹1,200","Resort","New Lighthouse, Full Moon Cafe","Corbyn’s Cove, Water sports","9","[Thrillophilia - Corbyn’s Cove](https://www.thrillophilia.com)","[Andaman Vlog](https://www.youtube.com/watch?v=xyz789)"
"Andaman","9","Breakfast at resort (₹500), Shopping (₹1,000)","Lunch at Amaya (₹700), Relax (Free)","Dinner at Sea Shell (₹1,200), Departure (₹1,500)","₹4,900","₹2,500","₹1,900","₹2,500","Resort","Amaya, Sea Shell","Shopping","9","Pick up shells and pearls","[Andaman Vlog](https://www.youtube.com/watch?v=xyz789)"
"Auli","1","Check-in at budget hotel (₹2,000), Auli Ropeway (₹1,000)","Lunch at Cliff Top (₹600), Skiing intro (₹800)","Dinner at local dhaba (₹500), Relax (Free)","₹4,900","₹2,000","₹1,100","₹1,800","Budget Hotel","Cliff Top, Local Dhaba","Auli Ropeway, Skiing intro","5","[Thrillophilia - Auli Ropeway](https://www.thrillophilia.com)","[Auli Vlog](https://www.youtube.com/watch?v=def456)"
"Auli","2","Breakfast at hotel (₹400), Joshimath (₹300)","Lunch at Auli Resort (₹600), Snow trekking (₹500)","Dinner at Cliff Top (₹700), Night views (Free)","₹2,500","₹2,000","₹1,300","₹800","Budget Hotel","Auli Resort, Cliff Top","Joshimath, Snow trekking","5","[Thrillophilia - Joshimath](https://www.thrillophilia.com)","[Auli Vlog](https://www.youtube.com/watch?v=def456)"
"Auli","3","Breakfast at hotel (₹400), Gorson Bugyal (₹500)","Lunch at local dhaba (₹500), Departure (₹1,000)","-","₹2,400","₹2,000","₹900","₹1,500","Budget Hotel","Local Dhaba","Gorson Bugyal","5","[Thrillophilia - Gorson Bugyal](https://www.thrillophilia.com)","[Auli Vlog](https://www.youtube.com/watch?v=def456)"
"Auli","4","Breakfast at hotel (₹400), Skiing practice (₹800)","Lunch at Cliff Top (₹600), Relax (Free)","Dinner at Auli Resort (₹700), Bonfire (Free)","₹2,500","₹2,000","₹1,300","₹800","Budget Hotel","Cliff Top, Auli Resort","Skiing practice, Bonfire","5","[Thrillophilia - Skiing](https://www.thrillophilia.com)","[Auli Vlog](https://www.youtube.com/watch?v=def456)"
"Auli","5","Breakfast at hotel (₹400), Trishul Peak view (Free)","Lunch at local dhaba (₹500), Shopping (₹600)","Dinner at Cliff Top (₹700), Departure (₹1,000)","₹3,200","₹2,000","₹1,600","₹1,600","Budget Hotel","Local Dhaba, Cliff Top","Trishul Peak view, Shopping","5","Pick up woolens and souvenirs","[Auli Vlog](https://www.youtube.com/watch?v=def456)"
"Badrinath","1","Check-in at budget hotel (₹1,200), Badrinath Temple (Free)","Lunch at Saket Restaurant (₹500), Mana Village (₹300)","Dinner at local dhaba (₹400), Relax (Free)","₹2,400","₹1,200","₹900","₹300","Budget Hotel","Saket Restaurant, Local Dhaba","Badrinath Temple, Mana Village","5","[Thrillophilia - Badrinath](https://www.thrillophilia.com)","[Badrinath Vlog](https://www.youtube.com/watch?v=ghi789)"
"Badrinath","2","Breakfast at hotel (₹300), Neelkanth Peak view (Free)","Lunch at local dhaba (₹400), Tapt Kund (Free)","Dinner at Saket Restaurant (₹500), Night prayer (Free)","₹1,200","₹1,200","₹900","₹0","Budget Hotel","Local Dhaba, Saket Restaurant","Neelkanth Peak view, Tapt Kund, Night prayer","5","[Thrillophilia - Tapt Kund](https://www.thrillophilia.com)","[Badrinath Vlog](https://www.youtube.com/watch?v=ghi789)"
"Badrinath","3","Breakfast at hotel (₹300), Charan Paduka (₹200)","Lunch at local dhaba (₹400), Departure (₹600)","-","₹1,500","₹1,200","₹700","₹800","Budget Hotel","Local Dhaba","Charan Paduka","5","[Thrillophilia - Charan Paduka](https://www.thrillophilia.com)","[Badrinath Vlog](https://www.youtube.com/watch?v=ghi789)"
"Badrinath","4","Breakfast at hotel (₹300), Vyas Gufa (₹300)","Lunch at Saket Restaurant (₹500), Relax (Free)","Dinner at local dhaba (₹400), Night walk (Free)","₹1,500","₹1,200","₹900","₹300","Budget Hotel","Saket Restaurant, Local Dhaba","Vyas Gufa","5","[Thrillophilia - Vyas Gufa](https://www.thrillophilia.com)","[Badrinath Vlog](https://www.youtube.com/watch?v=ghi789)"
"Badrinath","5","Breakfast at hotel (₹300), Shopping (₹500)","Lunch at local dhaba (₹400), Relax (Free)","Dinner at Saket Restaurant (₹500), Departure (₹600)","₹2,300","₹1,200","₹1,200","₹1,100","Budget Hotel","Local Dhaba, Saket Restaurant","Shopping","5","Pick up religious souvenirs","[Badrinath Vlog](https://www.youtube.com/watch?v=ghi789)"
"Coorg","1","Check-in at budget hotel (₹1,800), Abbey Falls (₹200)","Lunch at Raintree (₹600), Raja’s Seat (Free)","Dinner at East End (₹700), Relax (Free)","₹3,300","₹1,800","₹1,300","₹200","Budget Hotel","Raintree, East End","Abbey Falls, Raja’s Seat","6","[Thrillophilia - Abbey Falls](https://www.thrillophilia.com)","[Coorg Vlog](https://www.youtube.com/watch?v=jkl012)"
"Coorg","2","Breakfast at hotel (₹400), Dubare Elephant Camp (₹800)","Lunch at Coorg Cuisine (₹600), Coffee Plantation (₹300)","Dinner at Taste of Coorg (₹700), Night walk (Free)","₹2,800","₹1,800","₹1,700","₹1,100","Budget Hotel","Coorg Cuisine, Taste of Coorg","Dubare Elephant Camp, Coffee Plantation","6","[Thrillophilia - Dubare](https://www.thrillophilia.com)","[Coorg Vlog](https://www.youtube.com/watch?v=jkl012)"
"Coorg","3","Breakfast at hotel (₹400), Talacauvery (₹300)","Lunch at Raintree (₹600), Bhagamandala (Free)","Dinner at East End (₹700), Relaxation (Free)","₹2,000","₹1,800","₹1,700","₹300","Budget Hotel","Raintree, East End","Talacauvery, Bhagamandala","6","[Thrillophilia - Talacauvery](https://www.thrillophilia.com)","[Coorg Vlog](https://www.youtube.com/watch?v=jkl012)"
"Coorg","4","Breakfast at hotel (₹400), Iruppu Falls (₹200)","Lunch at Coorg Cuisine (₹600), Departure (₹800)","-","₹2,000","₹1,800","₹1,000","₹1,000","Budget Hotel","Coorg Cuisine","Iruppu Falls","6","[Thrillophilia - Iruppu Falls](https://www.thrillophilia.com)","[Coorg Vlog](https://www.youtube.com/watch?v=jkl012)"
"Coorg","5","Breakfast at hotel (₹400), Madikeri Fort (Free)","Lunch at Taste of Coorg (₹700), Trekking (₹500)","Dinner at Raintree (₹600), Relax (Free)","₹2,200","₹1,800","₹1,700","₹500","Budget Hotel","Taste of Coorg, Raintree","Madikeri Fort, Trekking","6","[Thrillophilia - Madikeri Fort](https://www.thrillophilia.com)","[Coorg Vlog](https://www.youtube.com/watch?v=jkl012)"
"Coorg","6","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at East End (₹700), Relax (Free)","Dinner at Coorg Cuisine (₹700), Departure (₹800)","₹3,200","₹1,800","₹1,800","₹1,400","Budget Hotel","East End, Coorg Cuisine","Shopping","6","Pick up coffee and spices","[Coorg Vlog](https://www.youtube.com/watch?v=jkl012)"
"Darjeeling","1","Check-in at budget hotel (₹2,500), Tiger Hill sunrise (₹500)","Lunch at Glenary’s (₹800), Toy Train ride (₹1,000)","Dinner at Kunga (₹700), Relax (Free)","₹5,500","₹2,500","₹1,500","₹1,500","Budget Hotel","Glenary’s, Kunga","Tiger Hill sunrise, Toy Train ride","6","[Thrillophilia - Tiger Hill](https://www.thrillophilia.com)","[Darjeeling Vlog](https://www.youtube.com/watch?v=mno345)"
"Darjeeling","2","Breakfast at hotel (₹500), Peace Pagoda (Free)","Lunch at Sonam’s Kitchen (₹600), Tea Garden (₹300)","Dinner at Gatty’s Cafe (₹800), Night walk (Free)","₹2,200","₹2,500","₹1,900","₹300","Budget Hotel","Sonam’s Kitchen, Gatty’s Cafe","Peace Pagoda, Tea Garden","6","[Thrillophilia - Tea Garden](https://www.thrillophilia.com)","[Darjeeling Vlog](https://www.youtube.com/watch?v=mno345)"
"Darjeeling","3","Breakfast at hotel (₹500), Batasia Loop (₹200)","Lunch at Glenary’s (₹800), Rock Garden (₹300)","Dinner at Kunga (₹700), Departure (₹1,200)","₹3,700","₹2,500","₹2,000","₹1,700","Budget Hotel","Glenary’s, Kunga","Batasia Loop, Rock Garden","6","[Thrillophilia - Batasia Loop](https://www.thrillophilia.com)","[Darjeeling Vlog](https://www.youtube.com/watch?v=mno345)"
"Darjeeling","4","Breakfast at hotel (₹500), Himalayan Mountaineering Institute (₹400)","Lunch at Sonam’s Kitchen (₹600), Zoo (₹200)","Dinner at Gatty’s Cafe (₹800), Relax (Free)","₹2,500","₹2,500","₹1,900","₹600","Budget Hotel","Sonam’s Kitchen, Gatty’s Cafe","Himalayan Mountaineering Institute, Zoo","6","[Thrillophilia - HMI](https://www.thrillophilia.com)","[Darjeeling Vlog](https://www.youtube.com/watch?v=mno345)"
"Darjeeling","5","Breakfast at hotel (₹500), Happy Valley Tea Estate (₹300)","Lunch at Glenary’s (₹800), Relax (Free)","Dinner at Kunga (₹700), Night views (Free)","₹2,300","₹2,500","₹2,000","₹300","Budget Hotel","Glenary’s, Kunga","Happy Valley Tea Estate","6","[Thrillophilia - Happy Valley](https://www.thrillophilia.com)","[Darjeeling Vlog](https://www.youtube.com/watch?v=mno345)"
"Darjeeling","6","Breakfast at hotel (₹500), Shopping (₹1,000)","Lunch at Sonam’s Kitchen (₹600), Relax (Free)","Dinner at Gatty’s Cafe (₹800), Departure (₹1,200)","₹4,100","₹2,500","₹1,900","₹2,200","Budget Hotel","Sonam’s Kitchen, Gatty’s Cafe","Shopping","6","Pick up tea and handicrafts","[Darjeeling Vlog](https://www.youtube.com/watch?v=mno345)"
"Delhi","1","Check-in at budget hotel (₹1,800), Red Fort (₹500)","Lunch at Karim’s (₹700), Jama Masjid (Free)","Dinner at Paranthe Wali Gali (₹600), Night walk (Free)","₹3,600","₹1,800","₹1,300","₹500","Budget Hotel","Karim’s, Paranthe Wali Gali","Red Fort, Jama Masjid","5","[Thrillophilia - Red Fort](https://www.thrillophilia.com)","[Delhi Vlog](https://www.youtube.com/watch?v=pqr678)"
"Delhi","2","Breakfast at hotel (₹400), Qutub Minar (₹500)","Lunch at Moti Mahal (₹800), Lotus Temple (Free)","Dinner at Bukhara (₹1,000), Relax (Free)","₹2,700","₹1,800","₹1,800","₹500","Budget Hotel","Moti Mahal, Bukhara","Qutub Minar, Lotus Temple","5","[Thrillophilia - Qutub Minar](https://www.thrillophilia.com)","[Delhi Vlog](https://www.youtube.com/watch?v=pqr678)"
"Delhi","3","Breakfast at hotel (₹400), India Gate (Free)","Lunch at Saravana Bhavan (₹600), Humayun’s Tomb (₹500)","Dinner at Karim’s (₹700), Departure (₹800)","₹3,000","₹1,800","₹1,700","₹1,300","Budget Hotel","Saravana Bhavan, Karim’s","India Gate, Humayun’s Tomb","5","[Thrillophilia - Humayun’s Tomb](https://www.thrillophilia.com)","[Delhi Vlog](https://www.youtube.com/watch?v=pqr678)"
"Delhi","4","Breakfast at hotel (₹400), Chandni Chowk (Free)","Lunch at Paranthe Wali Gali (₹600), Shopping (₹1,000)","Dinner at Moti Mahal (₹800), Relax (Free)","₹2,800","₹1,800","₹1,800","₹1,000","Budget Hotel","Paranthe Wali Gali, Moti Mahal","Chandni Chowk, Shopping","5","Explore Chandni Chowk markets","[Delhi Vlog](https://www.youtube.com/watch?v=pqr678)"
"Delhi","5","Breakfast at hotel (₹400), Akshardham Temple (Free)","Lunch at Bukhara (₹1,000), Relax (Free)","Dinner at Saravana Bhavan (₹600), Departure (₹800)","₹2,800","₹1,800","₹2,000","₹800","Budget Hotel","Bukhara, Saravana Bhavan","Akshardham Temple","5","[Thrillophilia - Akshardham](https://www.thrillophilia.com)","[Delhi Vlog](https://www.youtube.com/watch?v=pqr678)"
"Dwarka","1","Check-in at budget hotel (₹1,000), Dwarkadhish Temple (Free)","Lunch at local dhaba (₹400), Nageshwar Jyotirlinga (₹200)","Dinner at Govinda (₹400), Relax (Free)","₹2,000","₹1,000","₹800","₹200","Budget Hotel","Local Dhaba, Govinda","Dwarkadhish Temple, Nageshwar Jyotirlinga","4","[Thrillophilia - Dwarkadhish](https://www.thrillophilia.com)","[Dwarka Vlog](https://www.youtube.com/watch?v=stu901)"
"Dwarka","2","Breakfast at hotel (₹300), Bet Dwarka ferry (₹500)","Lunch at local dhaba (₹400), Departure (₹500)","-","₹1,700","₹1,000","₹700","₹1,000","Budget Hotel","Local Dhaba","Bet Dwarka ferry","4","[Thrillophilia - Bet Dwarka](https://www.thrillophilia.com)","[Dwarka Vlog](https://www.youtube.com/watch?v=stu901)"
"Dwarka","3","Breakfast at hotel (₹300), Gomti Ghat (Free)","Lunch at Govinda (₹400), Relax (Free)","Dinner at local dhaba (₹400), Night walk (Free)","₹1,100","₹1,000","₹800","₹0","Budget Hotel","Govinda, Local Dhaba","Gomti Ghat","4","[Thrillophilia - Gomti Ghat](https://www.thrillophilia.com)","[Dwarka Vlog](https://www.youtube.com/watch?v=stu901)"
"Dwarka","4","Breakfast at hotel (₹300), Shopping (₹500)","Lunch at local dhaba (₹400), Relax (Free)","Dinner at Govinda (₹400), Departure (₹500)","₹2,100","₹1,000","₹1,100","₹1,000","Budget Hotel","Local Dhaba, Govinda","Shopping","4","Pick up religious items","[Dwarka Vlog](https://www.youtube.com/watch?v=stu901)"
"Fatehpur Sikri","1","Check-in at budget hotel (₹1,200), Buland Darwaza (Free)","Lunch at local dhaba (₹400), Jama Masjid (Free)","Dinner at Sher-e-Punjab (₹500), Relax (Free)","₹2,100","₹1,200","₹900","₹0","Budget Hotel","Local Dhaba, Sher-e-Punjab","Buland Darwaza, Jama Masjid","4","[Thrillophilia - Fatehpur Sikri](https://www.thrillophilia.com)","[Fatehpur Sikri Vlog](https://www.youtube.com/watch?v=vwx234)"
